X,Y,OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT
-66.7033002209999,18.1398450250001,1,00601,ADJUNTAS,PR,18.139845025,-66.703300221,18.139845025,-66.703300221
-67.183857905,18.384364416,2,00602,AGUADA,PR,18.384364416,-67.183857905,18.384364416,-67.183857905
-67.145194885,18.450707994,3,00603,AGUADILLA,PR,18.450707994,-67.145194885,18.450707994,-67.145194885
-67.1474689999999,18.493863,4,00604,AGUADILLA,PR,18.493863,-67.147469,18.493863,-67.147469
-67.1383,18.4437,5,00605,AGUADILLA,PR,18.4437,-67.1383,18.4437,-67.1383
-66.979567507,18.1812489220001,6,00606,MARICAO,PR,18.181248922,-66.979567507,18.181248922,-66.979567507
-67.144631347,18.283642319,7,00610,ANASCO,PR,18.283642319,-67.144631347,18.283642319,-67.144631347
-66.8138999999999,18.2753000000001,8,00611,ANGELES,PR,18.2753,-66.8139,18.2753,-66.8139
-66.721831317,18.458773013,9,00612,ARECIBO,PR,18.458773013,-66.721831317,18.458773013,-66.721831317
-66.723887699,18.465646952,10,00613,ARECIBO,PR,18.465646952,-66.723887699,18.465646952,-66.723887699
-66.7377,18.4609,11,00614,ARECIBO,PR,18.4609,-66.7377,18.4609,-66.7377
-66.6192313829999,18.444080679,12,00616,BAJADERO,PR,18.444080679,-66.619231383,18.444080679,-66.619231383
-66.546730027,18.440355674,13,00617,BARCELONETA,PR,18.440355674,-66.546730027,18.440355674,-66.546730027
-67.1289397199999,18.0328743360001,14,00622,BOQUERON,PR,18.032874336,-67.12893972,18.032874336,-67.12893972
-67.155467115,18.078927172,15,00623,CABO ROJO,PR,18.078927172,-67.155467115,18.078927172,-67.155467115
-66.724740944,18.046899275,16,00624,PENUELAS,PR,18.046899275,-66.724740944,18.046899275,-66.724740944
-66.8434215089999,18.4735602430001,17,00627,CAMUY,PR,18.473560243,-66.843421509,18.473560243,-66.843421509
-66.951681387,18.0700813300001,18,00637,SABANA GRANDE,PR,18.07008133,-66.951681387,18.07008133,-66.951681387
-66.467831288,18.3228740110001,19,00638,CIALES,PR,18.322874011,-66.467831288,18.322874011,-66.467831288
-66.698839607,18.256745525,20,00641,UTUADO,PR,18.256745525,-66.698839607,18.256745525,-66.698839607
-66.277879292,18.449639034,21,00646,DORADO,PR,18.449639034,-66.277879292,18.449639034,-66.277879292
-66.939489711,17.965364633,22,00647,ENSENADA,PR,17.965364633,-66.939489711,17.965364633,-66.939489711
-66.580878169,18.3757069550001,23,00650,FLORIDA,PR,18.375706955,-66.580878169,18.375706955,-66.580878169
-66.615553182,18.467644319,24,00652,GARROCHALES,PR,18.467644319,-66.615553182,18.467644319,-66.615553182
-66.906649692,17.973178616,25,00653,GUANICA,PR,17.973178616,-66.906649692,17.973178616,-66.906649692
-66.7895667669999,18.019733274,26,00656,GUAYANILLA,PR,18.019733274,-66.789566767,18.019733274,-66.789566767
-66.813239503,18.4807332570001,27,00659,HATILLO,PR,18.480733257,-66.813239503,18.480733257,-66.813239503
-67.121676354,18.1400893580001,28,00660,HORMIGUEROS,PR,18.140089358,-67.121676354,18.140089358,-67.121676354
-67.024075838,18.4827740760001,29,00662,ISABELA,PR,18.482774076,-67.024075838,18.482774076,-67.024075838
-66.5920023739999,18.2191768280001,30,00664,JAYUYA,PR,18.219176828,-66.592002374,18.219176828,-66.592002374
-67.0579093599999,18.04818147,31,00667,LAJAS,PR,18.04818147,-67.05790936,18.04818147,-67.05790936
-66.882936484,18.295242639,32,00669,LARES,PR,18.295242639,-66.882936484,18.295242639,-66.882936484
-66.989367407,18.2523228430001,33,00670,LAS MARIAS,PR,18.252322843,-66.989367407,18.252322843,-66.989367407
-66.48021668,18.4306952960001,34,00674,MANATI,PR,18.430695296,-66.48021668,18.430695296,-66.48021668
-67.1142307059999,18.3948782310001,35,00676,MOCA,PR,18.394878231,-67.114230706,18.394878231,-67.114230706
-67.24620936,18.337465351,36,00677,RINCON,PR,18.337465351,-67.24620936,18.337465351,-67.24620936
-66.934982481,18.4695488130001,37,00678,QUEBRADILLAS,PR,18.469548813,-66.934982481,18.469548813,-66.934982481
-67.1365201839999,18.1900400100001,38,00680,MAYAGUEZ,PR,18.19004001,-67.136520184,18.19004001,-67.136520184
-67.14503838,18.2020395370001,39,00681,MAYAGUEZ,PR,18.202039537,-67.14503838,18.202039537,-67.14503838
-67.1713160629999,18.206316456,40,00682,MAYAGUEZ,PR,18.206316456,-67.171316063,18.206316456,-67.171316063
-67.039826842,18.083460287,41,00683,SAN GERMAN,PR,18.083460287,-67.039826842,18.083460287,-67.039826842
-66.993055538,18.331379564,42,00685,SAN SEBASTIAN,PR,18.331379564,-66.993055538,18.331379564,-66.993055538
-66.413030153,18.3385272670001,43,00687,MOROVIS,PR,18.338527267,-66.413030153,18.338527267,-66.413030153
-66.6231938609999,18.3569334260001,44,00688,SABANA HOYOS,PR,18.356933426,-66.623193861,18.356933426,-66.623193861
-67.1013153879999,18.488984961,45,00690,SAN ANTONIO,PR,18.488984961,-67.101315388,18.488984961,-67.101315388
-66.3276441149999,18.4327100190001,46,00692,VEGA ALTA,PR,18.432710019,-66.327644115,18.432710019,-66.327644115
-66.401369033,18.4494800620001,47,00693,VEGA BAJA,PR,18.449480062,-66.401369033,18.449480062,-66.401369033
-66.394796,18.4443680000001,48,00694,VEGA BAJA,PR,18.444368,-66.394796,18.444368,-66.394796
-66.855729685,18.0264411310001,49,00698,YAUCO,PR,18.026441131,-66.855729685,18.026441131,-66.855729685
-66.1023921619999,18.255486676,50,00703,AGUAS BUENAS,PR,18.255486676,-66.102392162,18.255486676,-66.102392162
-66.240480038,17.973753102,51,00704,AGUIRRE,PR,17.973753102,-66.240480038,17.973753102,-66.240480038
-66.267366521,18.137862537,52,00705,AIBONITO,PR,18.137862537,-66.267366521,18.137862537,-66.267366521
-65.8988959979999,17.9987564940001,53,00707,MAUNABO,PR,17.998756494,-65.898895998,17.998756494,-65.898895998
-66.058097408,17.9760657910001,54,00714,ARROYO,PR,17.976065791,-66.058097408,17.976065791,-66.058097408
-66.566342012,18.010742238,55,00715,MERCEDITA,PR,18.010742238,-66.566342012,18.010742238,-66.566342012
-66.606553584,18.0007525390001,56,00716,PONCE,PR,18.000752539,-66.606553584,18.000752539,-66.606553584
-66.613003173,18.003463894,57,00717,PONCE,PR,18.003463894,-66.613003173,18.003463894,-66.613003173
-65.728825285,18.2079154740001,58,00718,NAGUABO,PR,18.207915474,-65.728825285,18.207915474,-65.728825285
-66.244345348,18.29962663,59,00719,NARANJITO,PR,18.29962663,-66.244345348,18.29962663,-66.244345348
-66.405543547,18.190236349,60,00720,OROCOVIS,PR,18.190236349,-66.405543547,18.190236349,-66.405543547
-65.8495,18.3768000000001,61,00721,PALMER,PR,18.3768,-65.8495,18.3768,-65.8495
-66.007593524,18.0465082640001,62,00723,PATILLAS,PR,18.046508264,-66.007593524,18.046508264,-66.007593524
-66.0314127089999,18.2343459480001,63,00725,CAGUAS,PR,18.234345948,-66.031412709,18.234345948,-66.031412709
-66.039912352,18.2260370160001,64,00726,CAGUAS,PR,18.226037016,-66.039912352,18.226037016,-66.039912352
-66.052275031,18.2320616010001,65,00727,CAGUAS,PR,18.232061601,-66.052275031,18.232061601,-66.052275031
-66.64983146,18.0094205,66,00728,PONCE,PR,18.0094205,-66.64983146,18.0094205,-66.64983146
-65.896720291,18.3819970220001,67,00729,CANOVANAS,PR,18.381997022,-65.896720291,18.381997022,-65.896720291
-66.6133463959999,18.024586933,68,00730,PONCE,PR,18.024586933,-66.613346396,18.024586933,-66.613346396
-66.637382601,18.0964489690001,69,00731,PONCE,PR,18.096448969,-66.637382601,18.096448969,-66.637382601
-66.6204,18.0244000000001,70,00732,PONCE,PR,18.0244,-66.6204,18.0244,-66.6204
-66.614179,18.016422,71,00733,PONCE,PR,18.016422,-66.614179,18.016422,-66.614179
-65.64947612,18.266128344,72,00735,CEIBA,PR,18.266128344,-65.64947612,18.266128344,-65.64947612
-66.147729017,18.1185458910001,73,00736,CAYEY,PR,18.118545891,-66.147729017,18.118545891,-66.147729017
-66.1625,18.1088,74,00737,CAYEY,PR,18.1088,-66.1625,18.1088,-66.1625
-65.65436562,18.332018464,75,00738,FAJARDO,PR,18.332018464,-65.65436562,18.332018464,-65.65436562
-66.146179004,18.17188121,76,00739,CIDRA,PR,18.17188121,-66.146179004,18.17188121,-66.146179004
-65.636367889,18.329660726,77,00740,PUERTO REAL,PR,18.329660726,-65.636367889,18.329660726,-65.636367889
-65.75602276,18.161640811,78,00741,PUNTA SANTIAGO,PR,18.161640811,-65.75602276,18.161640811,-65.75602276
-65.7866,18.2095,79,00744,RIO BLANCO,PR,18.2095,-65.7866,18.2095,-65.7866
-65.8289233359999,18.3771581720001,80,00745,RIO GRANDE,PR,18.377158172,-65.828923336,18.377158172,-65.828923336
-66.2803414269999,17.9786382950001,81,00751,SALINAS,PR,17.978638295,-66.280341427,17.978638295,-66.280341427
-65.969868339,18.1909542760001,82,00754,SAN LORENZO,PR,18.190954276,-65.969868339,18.190954276,-65.969868339
-66.3932776949999,17.969861813,83,00757,SANTA ISABEL,PR,17.969861813,-66.393277695,17.969861813,-66.393277695
