driving_distance,numericZIPS,ABORTstate,USPS_ZIP_1
6.034133781,1001,MA,MA
6.034133781,1001,MA,MA
6.034133781,1001,MA,MA
24.578951276,1002,MA,MA
19.005253406,1007,MA,MA
27.979714759,1010,CT,MA
4.403034906,1013,MA,MA
4.403034906,1013,MA,MA
4.403034906,1013,MA,MA
4.403034906,1013,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
5.160486155,1020,MA,MA
7.937393154,1022,MA,MA
7.937393154,1022,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
13.374389404,1027,MA,MA
9.151552088,1030,MA,MA
11.226309857,1033,MA,MA
11.226309857,1033,MA,MA
11.226309857,1033,MA,MA
11.226309857,1033,MA,MA
11.226309857,1033,MA,MA
23.919055274,1034,CT,MA
11.940265136,1036,CT,MA
26.709632435,1039,MA,MA
26.709632435,1039,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
6.225516049,1040,MA,MA
22.575029801,1053,MA,MA
22.575029801,1053,MA,MA
36.319756321,1054,MA,MA
36.319756321,1054,MA,MA
11.025607024,1056,MA,MA
11.025607024,1056,MA,MA
11.025607024,1056,MA,MA
11.025607024,1056,MA,MA
18.750491296,1057,CT,MA
18.750491296,1057,CT,MA
18.750491296,1057,CT,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
17.619596076,1060,MA,MA
20.266636536,1062,MA,MA
20.266636536,1062,MA,MA
18.731228795,1069,MA,MA
18.731228795,1069,MA,MA
18.731228795,1069,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
8.514025442,1075,MA,MA
15.25465805,1077,MA,MA
15.25465805,1077,MA,MA
26.810294537,1082,MA,MA
26.810294537,1082,MA,MA
26.810294537,1082,MA,MA
26.810294537,1082,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
13.470701909,1085,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
3.713934467,1089,MA,MA
16.366290769,1095,MA,MA
2.569990456,1103,MA,MA
2.569990456,1103,MA,MA
2.635234411,1104,MA,MA
2.635234411,1104,MA,MA
2.635234411,1104,MA,MA
2.635234411,1104,MA,MA
2.635234411,1104,MA,MA
2.635234411,1104,MA,MA
2.93287112,1105,MA,MA
5.683059166,1106,CT,MA
5.683059166,1106,CT,MA
5.208331722,1108,MA,MA
5.208331722,1108,MA,MA
5.208331722,1108,MA,MA
5.208331722,1108,MA,MA
5.392257538,1109,MA,MA
5.392257538,1109,MA,MA
6.874848744,1118,MA,MA
6.874848744,1118,MA,MA
7.622358057,1119,MA,MA
7.622358057,1119,MA,MA
7.622358057,1119,MA,MA
7.622358057,1119,MA,MA
9.108056118,1128,MA,MA
8.809798038,1129,MA,MA
8.329478255,1151,MA,MA
0.830151656,1201,MA,MA
0.830151656,1201,MA,MA
0.830151656,1201,MA,MA
0.830151656,1201,MA,MA
0.830151656,1201,MA,MA
0.830151656,1201,MA,MA
6.153437013,1220,MA,MA
6.153437013,1220,MA,MA
11.090229608,1225,MA,MA
4.607465965,1226,MA,MA
21.382618852,1230,MA,MA
21.382618852,1230,MA,MA
21.382618852,1230,MA,MA
21.382618852,1230,MA,MA
18.339765065,1236,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
0.710227053,1247,MA,MA
24.641709747,1259,CT,MA
39.061866544,1301,NH,MA
39.061866544,1301,NH,MA
26.717710258,1331,NH,MA
26.717710258,1331,NH,MA
25.000862185,1338,MA,MA
35.65426798,1341,MA,MA
36.519216412,1351,MA,MA
28.942218438,1364,NH,MA
28.652659552,1373,MA,MA
31.082841533,1375,MA,MA
30.309234638,1376,NH,MA
21.367705948,1378,NH,MA
32.981751309,1379,NH,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
26.443685647,1420,MA,MA
30.343410043,1430,MA,MA
30.343410043,1430,MA,MA
34.248105407,1431,MA,MA
34.248105407,1431,MA,MA
23.901035515,1432,MA,MA
23.901035515,1432,MA,MA
36.863455946,1440,MA,MA
36.863455946,1440,MA,MA
26.17836023,1450,MA,MA
26.17836023,1450,MA,MA
26.17836023,1450,MA,MA
16.500506905,1451,MA,MA
22.402910034,1453,MA,MA
22.402910034,1453,MA,MA
22.402910034,1453,MA,MA
18.818220735,1460,MA,MA
18.818220735,1460,MA,MA
18.818220735,1460,MA,MA
18.818220735,1460,MA,MA
24.266401663,1462,MA,MA
24.266401663,1462,MA,MA
26.073969902,1468,MA,MA
22.450755601,1475,NH,MA
22.450755601,1475,NH,MA
6.009900312,1501,MA,MA
6.009900312,1501,MA,MA
18.115450134,1506,MA,MA
15.42242822,1507,MA,MA
15.42242822,1507,MA,MA
12.81888373,1510,MA,MA
12.81888373,1510,MA,MA
12.81888373,1510,MA,MA
14.616510033,1515,MA,MA
18.041506985,1516,MA,MA
11.107006625,1519,MA,MA
6.371538234,1520,MA,MA
28.820429722,1521,CT,MA
6.537444291,1524,MA,MA
6.537444291,1524,MA,MA
6.374023718,1527,MA,MA
6.374023718,1527,MA,MA
6.374023718,1527,MA,MA
6.374023718,1527,MA,MA
20.060341364,1529,RI,MA
20.060341364,1529,RI,MA
6.266526535,1532,MA,MA
6.266526535,1532,MA,MA
13.952885805,1534,MA,MA
13.952885805,1534,MA,MA
18.207413042,1535,MA,MA
7.133960451,1536,MA,MA
